anaali
anus
asshole
bitch
blowjob
dildo
ejakulaatio
erektio
esinahka
faggot
fagotti
fatass
fuck
fucking
hinaaja
hinari
hinuri
hinttari
hintti
horo
huora
huoraperse
jakorasia
kassit
kullinnuppi
kurahaara
kyrvänsyylä
käteenveto
kikkeli
kulli
kyrpä
lumppu
lutka 
masturboida
mulkku
nartty
panomies
penis
perse
persereikä
persvako
pillu
pillunaama
pillukarva
pillunkantoteline
pyllyreikä
runkkari
runkku
römpsä
suihinotto
terska
tissivako
tussu
vagina
vittu
